sector,publishedDate,sentiment
Basic Materials,04/01/2019,-0.241574506
Basic Materials,15/01/2019,-0.061250254
Basic Materials,01/02/2019,0.838120818
Basic Materials,22/02/2019,0
Basic Materials,24/02/2019,0
Basic Materials,25/02/2019,-0.224559627
Basic Materials,27/02/2019,0.245852813
Basic Materials,06/03/2019,0
Basic Materials,14/03/2019,-0.931649655
Basic Materials,27/03/2019,-0.954574496
Basic Materials,28/03/2019,0
Basic Materials,02/04/2019,0.157212963
Basic Materials,09/04/2019,-0.446284175
Basic Materials,10/04/2019,-0.462273121
Basic Materials,16/04/2019,0.281544785
Basic Materials,23/04/2019,-0.948589862
Basic Materials,15/05/2019,0.400030583
Basic Materials,29/05/2019,0.595942676
Basic Materials,01/07/2019,-0.966484159
Basic Materials,05/07/2019,0
Basic Materials,07/07/2019,-0.475268573
Basic Materials,26/07/2019,-0.300781667
Basic Materials,05/08/2019,-0.69141388
Basic Materials,29/08/2019,0.419440121
Basic Materials,30/08/2019,-0.589772721
Basic Materials,12/09/2019,-0.909210563
Basic Materials,14/09/2019,-0.39391613
Basic Materials,30/09/2019,-0.861010402
Basic Materials,11/10/2019,0
Basic Materials,14/10/2019,-0.195524096
Basic Materials,17/10/2019,0.413514346
Basic Materials,21/10/2019,0.326356411
Basic Materials,22/10/2019,0.456619561
Basic Materials,21/11/2019,-0.954811931
Basic Materials,25/11/2019,-0.282784701
Basic Materials,28/11/2019,-0.827667117
Basic Materials,02/12/2019,0.2330928
Basic Materials,12/12/2019,0.298591823
Basic Materials,19/12/2019,-0.292907288
Basic Materials,23/12/2019,-0.280424267
Basic Materials,06/01/2020,0.129178991
Basic Materials,07/01/2020,0.285212517
Basic Materials,08/01/2020,0.552398543
Basic Materials,15/01/2020,-0.098039687
Basic Materials,16/01/2020,0.344448775
Basic Materials,17/01/2020,-0.468056063
Basic Materials,21/01/2020,-0.775250167
Basic Materials,22/01/2020,0.801813036
Basic Materials,25/01/2020,0.681110591
Basic Materials,27/01/2020,0.881231577
Basic Materials,28/01/2020,-0.216012726
Basic Materials,29/01/2020,-0.677733988
Basic Materials,30/01/2020,-0.041094382
Basic Materials,31/01/2020,-0.33812033
Basic Materials,04/02/2020,-0.235229886
Basic Materials,06/02/2020,-0.388722047
Basic Materials,07/02/2020,-0.109019756
Basic Materials,11/02/2020,-0.101510525
Basic Materials,12/02/2020,0.921478361
Basic Materials,13/02/2020,0.289486557
Basic Materials,18/02/2020,0
Basic Materials,19/02/2020,0.809930622
Basic Materials,20/02/2020,0.421531915
Basic Materials,21/02/2020,-0.546812173
Basic Materials,23/02/2020,-0.410409848
Basic Materials,24/02/2020,-0.902089551
Basic Materials,25/02/2020,-0.480042825
Basic Materials,27/02/2020,-0.137169277
Basic Materials,02/03/2020,-0.215473374
Basic Materials,04/03/2020,0.063987563
Basic Materials,09/03/2020,-0.423060864
Basic Materials,11/03/2020,-0.281036362
Basic Materials,15/03/2020,-0.888028234
Basic Materials,19/03/2020,0
Basic Materials,20/03/2020,-0.15736874
Basic Materials,23/03/2020,-0.465205699
Basic Materials,24/03/2020,0.448285416
Basic Materials,30/03/2020,-0.769750824
Basic Materials,31/03/2020,-0.173521459
Basic Materials,02/04/2020,0.005509242
Basic Materials,07/04/2020,-0.828320444
Basic Materials,10/04/2020,-0.756334444
Basic Materials,14/04/2020,-0.062720985
Basic Materials,16/04/2020,0.889668763
Basic Materials,17/04/2020,-0.848181874
Basic Materials,18/04/2020,-0.212604105
Basic Materials,19/04/2020,0
Basic Materials,20/04/2020,0.874261916
Basic Materials,21/04/2020,-0.469399631
Basic Materials,22/04/2020,-0.054062754
Basic Materials,23/04/2020,0.118757531
Basic Materials,24/04/2020,-0.337123596
Basic Materials,28/04/2020,-0.592086852
Basic Materials,05/05/2020,0
Basic Materials,06/05/2020,-0.945620626
Basic Materials,08/05/2020,-0.04530783
Basic Materials,09/05/2020,0
Basic Materials,11/05/2020,-0.163704545
Basic Materials,12/05/2020,-0.885464758
Basic Materials,13/05/2020,-0.462198109
Basic Materials,14/05/2020,0.358812928
Basic Materials,15/05/2020,0.043376975
Basic Materials,20/05/2020,-0.001208335
Basic Materials,21/05/2020,-0.779770866
Basic Materials,25/05/2020,-0.067474812
Basic Materials,27/05/2020,0
Basic Materials,04/06/2020,-0.600221366
Basic Materials,09/06/2020,0.625289753
Basic Materials,10/06/2020,0
Basic Materials,11/06/2020,0.350438208
Basic Materials,12/06/2020,-0.441300035
Basic Materials,15/06/2020,0.429509938
Basic Materials,16/06/2020,0.412404746
Basic Materials,18/06/2020,-0.2136814
Basic Materials,22/06/2020,0.928406299
Basic Materials,23/06/2020,-0.238739282
Basic Materials,26/06/2020,-0.24531135
Basic Materials,29/06/2020,0.889843732
Basic Materials,30/06/2020,-0.359000832
Basic Materials,01/07/2020,-0.025335282
Basic Materials,02/07/2020,0.065495044
Basic Materials,06/07/2020,0.428722168
Basic Materials,13/07/2020,-0.924837828
Basic Materials,15/07/2020,0.951942086
Basic Materials,20/07/2020,-0.55017527
Basic Materials,23/07/2020,-0.577943859
Basic Materials,27/07/2020,-0.895346165
Basic Materials,29/07/2020,-0.730447963
Basic Materials,05/08/2020,-0.480270446
Basic Materials,07/08/2020,-0.18579791
Basic Materials,11/08/2020,-0.960694075
Basic Materials,12/08/2020,0
Basic Materials,13/08/2020,-0.045903285
Basic Materials,14/08/2020,0.32572496
Basic Materials,17/08/2020,0.317134917
Basic Materials,19/08/2020,-0.456242909
Basic Materials,20/08/2020,-0.224879175
Basic Materials,21/08/2020,0.844698608
Basic Materials,24/08/2020,-0.826738
Basic Materials,30/08/2020,-0.705451738
Basic Materials,07/09/2020,-0.797565937
Basic Materials,08/09/2020,0.142132431
Basic Materials,09/09/2020,0.869388223
Basic Materials,10/09/2020,-0.786017656
Basic Materials,11/09/2020,0
Basic Materials,15/09/2020,-0.229241736
Basic Materials,16/09/2020,0.226945177
Basic Materials,17/09/2020,0
Basic Materials,20/09/2020,-0.679378704
Basic Materials,21/09/2020,-0.866579533
Basic Materials,22/09/2020,0.078371948
Basic Materials,23/09/2020,-0.132837086
Basic Materials,24/09/2020,0.858098626
Basic Materials,25/09/2020,0.273419649
Basic Materials,28/09/2020,0
Basic Materials,29/09/2020,-0.085816334
Basic Materials,30/09/2020,-0.725258827
Basic Materials,01/10/2020,0.222449044
Basic Materials,02/10/2020,0.007504473
Basic Materials,05/10/2020,0.836566687
Basic Materials,07/10/2020,0.066140672
Basic Materials,08/10/2020,-0.004710838
Basic Materials,09/10/2020,0.501049519
Basic Materials,12/10/2020,0
Basic Materials,13/10/2020,0.382467051
Basic Materials,14/10/2020,-0.898032993
Basic Materials,15/10/2020,-0.008614361
Basic Materials,16/10/2020,0.418629349
Basic Materials,21/10/2020,-0.053337485
Basic Materials,22/10/2020,0.098210265
Basic Materials,23/10/2020,0.946926922
Basic Materials,27/10/2020,-0.871293992
Basic Materials,28/10/2020,0.410139144
Basic Materials,01/11/2020,0.345715732
Basic Materials,03/11/2020,0.749705315
Basic Materials,04/11/2020,-0.504827271
